Date,Time,Store Name,Product Brand,Product Name,Product UPC,Product Price($),Product Image URL,Product URL
2023-06-07,10:12:04.371375,All Star Health,BodyStrong,BodyStrong Alpha Lipoic Acid (200mg) 360 caps,815503011985,25.00,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/bodystrong-alpha_lipoic_acid_(200mg).htm
2023-06-07,10:12:04.396310,All Star Health,Doctor's Best,Doctor's Best Stabilized R-Lipoic Acid (100mg) 180 vcaps,753950002296,44.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/doctors_best-best_stabilized_r_lipoic_acid.htm
2023-06-07,10:12:04.283572,All Star Health,Honeybee Gardens,Honeybee Gardens HBG For Men Aftershave Sandalwood 4 fl.oz,665013266067,6.69,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/honeybee_gardens-hbg_for_men_aftershave.htm
2023-06-07,10:12:04.289558,All Star Health,Herban Cowboy,Herban Cowboy Vegan After Shave Balm Moisturizer Dusk 3.4 fl.oz,805002000726,6.79,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/herban_cowboy-vegan_after_shave_balm_moisturizer.htm
2023-06-07,10:12:03.718182,All Star Health,American Health,American Health Super Acerola Plus Natural Vitamin Chewable (500mg) Natural Berry 100 wafrs,076630111034,8.29,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/american_health-super_acerola_plus_natural_vitamin_chewable_(500mg).htm
2023-06-07,10:12:03.522385,All Star Health,Now,Now Soy Protein Isolate Creamy Chocolate 2 lbs,733739021434,23.39,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/now-soy_protein_isolate.htm
2023-06-07,10:12:04.293545,All Star Health,Lucky Tiger,Lucky Tiger After Shave and Face Tonic 8 fl.oz,852113001302,10.79,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/lucky_tiger-after_shave_and_face_tonic.htm
2023-06-07,10:12:03.714192,All Star Health,Country Life,Country Life Chewable Acerola - Vitamin C Complex (500mg) Berry 180 wafrs,015794072119,25.34,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/country_life-acerola_c_500mg.htm
2023-06-07,10:12:03.524404,All Star Health,Life-Flo,Life-Flo Liquid Iodine Plus Unflavored 2 fl.oz,645951915470,9.67,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/life-flo-liquid_iodine_plus.htm
2023-06-07,10:12:03.519418,All Star Health,TwinLab,TwinLab Amino Fuel Lean Muscle Liquid Orange Rush 32 fl.oz,027434016049,29.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/twinlab-amino_fuel_lean_muscle.htm
2023-06-07,10:12:04.389328,All Star Health,Now,Now Alpha Lipoic Acid (600mg) 60 vcaps,733739030467,13.19,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/now-alpha_lipoic_acid_600mg.htm
2023-06-07,10:12:04.404289,All Star Health,Doctor's Best,Doctor's Best Alpha-Lipoic Acid 600 60 vcaps,753950001336,12.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/doctors_best-alpha-lipoic_acid_600mg.htm
2023-06-07,10:12:04.385339,All Star Health,Doctor's Best,Life Extension Mega Benfotiamine (250mg) 120 vcaps,737870925125,22.50,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/life_extension-mega_benfotiamine_(250mg).htm
2023-06-07,10:12:03.515433,All Star Health,Met-Rx,Met-Rx Meal Replacement Drink Mix Original Vanilla 40 pckts,786560187053,83.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/met-rx-meal_replacement_drink_mix.htm
2023-06-07,10:12:04.412267,All Star Health,Now,Now Alpha Lipoic Acid (250mg) 60 vcaps,733739030429,8.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/now-alpha_lipoic_acid_250mg.htm
2023-06-07,10:12:04.378372,All Star Health,BodyStrong,BodyStrong Alpha Lipoic Acid (600mg) 180 caps,815503012005,28.00,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/bodystrong-alpha-lipoic-acid-600mg.htm
2023-06-07,10:12:03.517423,All Star Health,Now,Now Sucanat (Granulated Cane) 2 lbs,733739069658,6.39,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/now-sucanat_granulated_cane.htm
2023-06-07,10:12:04.396310,All Star Health,Doctor's Best,Doctor's Best Stabilized R-Lipoic Acid (100mg) 60 vcaps,753950001237,18.39,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/doctors_best-best_stabilized_r_lipoic_acid.htm
2023-06-07,10:12:04.385339,All Star Health,Doctor's Best,Source Naturals Benfotiamine (150mg) 120 tabs,021078019077,16.69,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/source_naturals-benfotiamine_(150mg).htm
