Name,Street_Address,City,State,Zip-Code,Latitude,Longitude,Phone#,Loc Type,24/7 Self-Service
Circle K,9040 S Central,Phoenix,AZ,85042,33.36354,-112.07355,,Propane Tank Exchange,False
U-Haul,4007 E Camelback Rd,Phoenix,AZ,85018,33.509354,-111.994946,,Propane Cylinder Refill,False
Circle K,4023 N 47th Ave,Phoenix,AZ,85031,33.494285,-112.159858,,Propane Tank Exchange,False
Circle K,5041 W Lower Buckeye Rd,Phoenix,AZ,85043,33.421808,-112.168776,,Propane Tank Exchange,False
Circle K,4252 S 48th Street,Phoenix,AZ,85040,33.40761,-111.978811,,Propane Tank Exchange,False
Safeway,4750 E Indian School Rd,Phoenix,AZ,85018,33.495917,-111.979264,,Propane Tank Exchange,False
7 Eleven,5135 E Thomas Rd,Phoenix,AZ,85018,33.479639,-111.969787,,Propane Tank Exchange,False
Circle K,3508 W Baseline Rd,Phoenix,AZ,85339,33.378265,-112.134301,,Propane Tank Exchange,False
Safeway,810 E Glendale Ave,Phoenix,AZ,85020,33.539475,-112.062262,,Propane Tank Exchange,False
Home Depot,4848 N 43rd Ave,Phoenix,AZ,85031,33.507761,-112.152988,,Propane Tank Exchange,False
Circle K,4343 E Camelback,Phoenix,AZ,85018,33.509039,-111.987571,,Propane Tank Exchange,False
Circle K,5849 N 35th Ave,Phoenix,AZ,85017,33.523736,-112.133986,,Propane Tank Exchange,False
7 Eleven,1850 W Glendale Ave,Phoenix,AZ,85021,33.539041,-112.099078,,Propane Tank Exchange,False
Walmart,6145 N 35th Ave,Phoenix,AZ,85017,33.526944,-112.132403,,Propane Tank Exchange,False
Circle K,3950 East Baseline,Phoenix,AZ,85040,33.37853,-111.996282,,Propane Tank Exchange,False
Circle K,2344 W Glendale Ave,Phoenix,AZ,85021,33.538952,-112.110646,,Propane Tank Exchange,False
Circle K,1330 W University,Tempe,AZ,85281,33.42217,-111.96054,,Propane Tank Exchange,False
7 Eleven,2651 W Glendale Ave,Phoenix,AZ,85051,33.53821,-112.116544,,Propane Tank Exchange,False
Circle K,2702 W Glendale,Phoenix,AZ,85051,33.538985,-112.117289,,Propane Tank Exchange,False
Walmart,5250 W Indian School Rd,Phoenix,AZ,85031,33.496776,-112.172642,,Propane Tank Exchange,True
Circle K,5845 W McDowell,Phoenix,AZ,85035,33.465658,-112.185729,,Propane Tank Exchange,False
Circle K,5850 West McDowell Road,Phoenix,AZ,85035,33.466372,-112.185915,,Propane Tank Exchange,False
Mobil,5402 W Indian School,Phoenix,AZ,85031,33.495535,-112.175599,,Propane Tank Exchange,False
Arizona Waterworks,1008 W 1st St,Tempe,AZ,85281,33.429587,-111.952668,,Propane Tank Exchange,False
Circle K,1406 W Broadway,Tempe,AZ,85282,33.407705,-111.961158,,Propane Tank Exchange,False
Circle K,802 S Hardy,Tempe,AZ,85281,33.421604,-111.952575,,Propane Tank Exchange,False
CVS,3440 W Glendale,Phoenix,AZ,85051,33.539112,-112.133381,,Propane Tank Exchange,False
Circle K,1851 W Northern Ave,Phoenix,AZ,85021,33.552647,-112.099172,,Propane Tank Exchange,False
Circle K,4648 W Bethany Home Rd,Glendale,AZ,85301,33.524375,-112.159648,,Propane Tank Exchange,False
Circle K,5850 W Indian School,Phoenix,AZ,85001,33.495323,-112.186148,,Propane Tank Exchange,False
Circle K,2120 W Northern Avenue,Phoenix,AZ,85001,33.553538,-112.104353,,Propane Tank Exchange,False
Circle K,1323 W Southern,Tempe,AZ,85282,33.392536,-111.960307,,Propane Tank Exchange,False
Circle K,5110 Baseline Rd,Laveen,AZ,85339,33.378119,-112.169056,,Propane Tank Exchange,False
Circle K,199 W University,Tempe,AZ,85281,33.421881,-111.942384,,Propane Tank Exchange,False
Home Depot,5230 W Baseline Road,Laveen,AZ,85339,33.379581,-112.172368,,Propane Tank Exchange,False
ARCO,2740 W Northern,Phoenix,AZ,85051,33.553297,-112.118403,,Propane Cylinder Refill,False
Circle K,4303 W Glendale Ave,Glendale,AZ,85301,33.537914,-112.152313,,Propane Tank Exchange,False
Circle K,1111 N 67th Ave,Phoenix,AZ,85043,33.460593,-112.202961,,Propane Tank Exchange,False
Circle K,1601 N 67th Ave,Phoenix,AZ,85035,33.466451,-112.202791,,Propane Tank Exchange,False
CVS,802 S Mill Ave,Tempe,AZ,85281,33.421564,-111.940419,,Propane Tank Exchange,False
Circle K,507 W Broadway Rd,Tempe,AZ,85282,33.406732,-111.946273,,Propane Tank Exchange,False
Circle K,3101 W Northern,Phoenix,AZ,85051,33.55285,-112.125975,,Propane Tank Exchange,False
Circle K,6710 W Buckeye Road,Phoenix,AZ,85043,33.43765,-112.204311,,Propane Tank Exchange,False
Circle K,6633 W Thomas Rd,Phoenix,AZ,85033,33.480371,-112.200992,,Propane Tank Exchange,False
Circle K,1010 W Southern,Tempe,AZ,85282,33.393365,-111.952482,,Propane Tank Exchange,False
Circle K,5880 W Camelback Rd,Glendale,AZ,85301,33.509979,-112.185663,,Propane Tank Exchange,False
Circle K,6744 E McDowell Rd,Scottsdale,AZ,85257,33.466134,-111.935346,,Propane Tank Exchange,False
Pilot Flying J,6700 West Latham,Phoenix,AZ,85043,33.461167,-112.205888,,Propane Tank Exchange,False
Circle K,1619 W Baseline Rd,Guadalupe,AZ,85283,33.377699,-111.964592,,Propane Tank Exchange,False
Circle K,1435 W Baseline Rd,Tempe,AZ,85283,33.377569,-111.962515,,Propane Tank Exchange,False
Paras Store,8843 N Central Ave,Phoenix,AZ,85020,33.565703,-112.073486,,Propane Tank Exchange,False
Home Depot (QR code),1330 W Baseline Rd,Tempe,AZ ,85283,33.37965,-111.96013,,Propane Tank Exchange,True
ARCO AM PM,6702 W Thomas Rd,Phoenix,AZ,85034,33.48082,-112.203799,,Propane Cylinder Refill,False
Walmart,115 E Dunlap Ave,Phoenix,AZ,85020,33.566514,-112.072042,,Propane Tank Exchange,False
Walmart,115 E Dunlap Ave,Phoenix,AZ,85020,33.566514,-112.072042,,Propane Tank Exchange,True
Circle K,3050 N 68th St,Scottsdale,AZ,85251,33.483071,-111.935155,,Propane Tank Exchange,False
F1 Food & Fuel,8941 N 12th St,Phoenix,AZ,85020,33.567341,-112.056253,,Propane Tank Exchange,False
CVS,10 E Dunlap,Phoenix,AZ,85020,33.5682,-112.073253,,Propane Tank Exchange,False
Santa Maria Co-Op,3836 S 67th Avenue,Phoenix,AZ,85040,33.412408,-112.204212,,Propane Cylinder Refill,False
Circle K,8617 N 27th Ave,Phoenix,AZ,85051,33.562395,-112.116521,,Propane Tank Exchange,False
Valero,6842 E Thomas Rd,Scottsdale,AZ,85251,33.480713,-111.93271,,Propane Tank Exchange,False
Circle K,8955 N 19th Ave,Phoenix,AZ,85021,33.567169,-112.099009,,Propane Tank Exchange,False
Circle K,2730 N Scottsdale Rd,Tempe,AZ,85281,33.458081,-111.927051,,Propane Tank Exchange,False
Shell,1380 N Scottsdale,Tempe,AZ,85281,33.443484,-111.926836,,Propane Tank Exchange,False
CVS,1850 W Dunlap Ave,Phoenix,AZ,85021,33.568102,-112.098916,,Propane Tank Exchange,False
U-Haul,5024 W Glendale,Glendale,AZ,85301,33.539144,-112.167146,,Propane Cylinder Refill,False
Circle K,939 W Baseline,Tempe,AZ,85283,33.377894,-111.954764,,Propane Tank Exchange,False
Mission Market,8818 S Avenida Del Yaqui,Guadalupe,AZ,85283,33.366817,-111.963474,,Propane Tank Exchange,False
Circle K,5907 W Bethany Home Rd,Glendale,AZ,85301,33.523697,-112.186753,,Propane Tank Exchange,False
Am/Pm,7849 N 43rd Ave,Phoenix,AZ,85051,33.552731,-112.151031,,Propane Tank Exchange,False
Circle K,15 W Southern,Tempe,AZ,85282,33.392425,-111.939999,,Propane Tank Exchange,False
Stockman's Feeds,7315 W Buckeye,Phoenix,AZ,85043,33.436883,-112.216845,,Propane Cylinder Refill,False
Food City,725 W Baseline Road,Tempe,AZ,85283,33.377191,-111.950979,,Propane Tank Exchange,False
U-Haul,2701 W Dunlap Ave,Phoenix,AZ,85051,33.567138,-112.118174,,Propane Cylinder Refill,False
Circle K,6901 E Indian School,Scottsdale,AZ,85251,33.494565,-111.932153,,Propane Tank Exchange,False
Circle K,2865 N Scottsdale Rd,Scottsdale,AZ,85257,33.479875,-111.925793,,Propane Tank Exchange,False
Home Depot,7333 W McDowell,Phoenix,AZ,85035,33.465138,-112.218276,,Propane Tank Exchange,False
U-Haul,9435 N 19th Avenue,Phoenix,AZ,85021,33.572991,-112.099009,,Propane Cylinder Refill,False
Circle K,1101 S Rural,Tempe,AZ,85281,33.416644,-111.92591,,Propane Tank Exchange,False
U-Haul,3033 N Scottsdale,Scottsdale,AZ,85251,33.482916,-111.925654,,Propane Cylinder Refill,False
