Date Ingested,Avg. Market Time (days),Make Model,ER,Serial Number,Previous Registration,MFR Year,EIS Date,Current Airframe Hours,Previous Country,Days On Market,Ask Price (M),Ask Price_MO,Sale Price,Sale Price_TBD,Sale Date,Engine Program Type,Passengers,Collins Venue CMS,Ku-band Internet,Ka-band internet,Starlink,BBML,GoGo Biz ATG-4000,GoGo Biz ATG-5000,Gogo Biz Avance L5,SwiftBroadband 
08/05/2025,195,Gulfstream G650,Yes,6320,N711AL,2018,01-08-2018,"1,645",US,78,45.5,,44.75,,28/01/2025,RRCC,13, , ,Yes, , , , , , 
08/05/2025,194,Gulfstream G550, ,5192,N990ND,2008,01-07-2008,"3,985",US,158,17.95,,16.5,,08/04/2025,RRCC,16, , , , ,Yes, , , , 
08/05/2025,229,Gulfstream G450, ,4223,N404AR,2011,01-09-2011,"4,135",US,419,10.75,,10.3,,23/10/2024,RRCC,12, , , , , , , , , 
08/05/2025,108,Gulfstream G280, ,2252,N280TS,2022,01-03-2023,845,US,127,,Yes,23.9,,12/09/2024,,8, , , , , , , ,Yes, 
08/05/2025,275,Gulfstream G200, ,153,N83FF,2006,01-04-2007,"3,280",US,129,6.25,,6.0,,20/12/2024,ESP-G,10, , , , , , , , , 
08/05/2025,209,Global 6000, ,9785,N711WK,2017,01-12-2017,"1,975",US,126,,Yes,,Yes,05/03/2025,RRCC,14, , , , , , , , , 
08/05/2025,324,Global 5000, ,9492,N286JS,2012,01-03-2013,"1,520",US,61,21.99,,21.3,,18/12/2024,RRCC,14, , , , , , , , ,Yes
08/05/2025,223,Falcon 900B, ,158,N721HM,1996,01-06-1997,"9,615",US,388,5.49,,5.0,,24/04/2025,EAP,13, , , , , , ,Yes, , 
08/05/2025,179,Falcon 7X, ,179,D-ALIL,2012,01-12-2012,"3,170",DE,190,23.25,,22.0,,22/10/2024,ESP-G,12, , , , , , , , ,Yes
08/05/2025,198,Falcon 2000EXy, ,118,D-BONN,2007,01-10-2007,"5,025",DE,180,11.85,,11.3,,04/12/2024,ESP-P,10, , , , , , , , ,Yes
08/05/2025,262,Falcon 2000, ,194,N671HS,2002,01-08-2002,"6,440",US,336,7.0,,6.5,,24/06/2024,MSP-G,10, , , , , , , ,Yes, 
08/05/2025,115,Embraer Phenom 300, ,204,N300HY,2014,01-07-2014,"1,475",US,230,8.0,,,Yes,08/10/2024,JSSI,7, , , , , , , , , 
08/05/2025,180,Embraer Phenom 100, ,142,N917MM,2010,01-04-2010,"3,040",US,267,2.39,,2.12,,12/03/2025,ESP-P,4, , , , , , , , , 
08/05/2025,177,Citation XLS, ,5519,N43HF,2004,01-11-2004,"8,895",US,170,4.59,,3.9,,02/04/2025,ESP-G,8, , , , , , ,Yes, , 
08/05/2025,144,Citation M2, ,821,N77KN,2014,01-04-2014,"1,610",US,107,3.65,,,Yes,27/02/2025,TAP Blue,5, , , , , , , , , 
08/05/2025,147,Citation Sovereign+, ,507,N507SF,2013,01-04-2015,"3,565",US,254,12.99,,10.8,,18/12/2024,Textron PA+,9, , , , , ,Yes, , , 
08/05/2025,243,Embraer L450 / Praetor 500, ,015,D-BFIL,2016,01-10-2016,"5,750",DE,599,12.5,,12.4,,21/01/2025,MSP-G,8, , , , , , , , , 
08/05/2025,140,Citation XLS+, ,6033,N888RT,2009,01-12-2009,"2,120",US,98,6.75,,6.7,,06/12/2024,,8, , , , , , , , , 
08/05/2025,165,Citation Sovereign, ,004,N1027P,2004,01-09-2004,"4,910",US,154,5.59,,5.4,,13/09/2024,Textron PA+,9, , , , , , ,Yes, , 
08/05/2025,176,Citation X+, ,505,N750PT,2014,01-07-2014,"1,180",US,125,11.19,,10.7,,09/12/2024,RRCC,8, , , , , , , , , 
08/05/2025,188,Citation X, ,019,N199XP,1997,01-06-1997,"8,260",US,134,3.2,,2.46,,17/04/2025,EAP,8, , , , , , , , , 
08/05/2025,158,Challenger 300, ,360,N1CA,2012,01-08-2012,"2,705",US,161,13.3,,12.9,,07/03/2025,MSP-G,8, , , , , , ,Yes, , 
08/05/2025,188,Challenger 350, ,870,N923JL,2020,01-03-2021,"1,210",US,0,,Yes,21.0,,16/09/2024,MSP,9, , , , , , , ,Yes, 
08/05/2025,153,Citation CJ3, ,264,N923HA,2008,01-09-2008,"3,200",US,99,5.29,,,Yes,24/04/2025,TAP Elite,6, , , , , , , , , 
08/05/2025,172,Citation CJ2, ,231,N406LA,2005,01-08-2005,"4,630",US,90,3.45,,3.1,,17/04/2025,TAP Blue,6, , , , , , , , , 
08/05/2025,160,Citation CJ4, ,386,N386CJ,2022,01-06-2022,375,US,250,12.39,,,Yes,27/01/2025,TAP Blue,8, , , , , , , , , 
08/05/2025,194,Hawker 800XP, ,597,N807AV,2002,01-01-2003,"11,500",US,270,2.4,,1.6,,12/11/2024,,8, , , , , , , , , 
08/05/2025,260,Gulfstream GIVSP, ,1440,N800HH,2001,01-09-2001,"13,075",US,363,3.95,,3.95,,04/02/2025,RRCC,13, , , , , , ,Yes, , 
