Name,SKU,Price,Sale Price,Weight (Kg),Brand,Warrenty,Size,Material,Available Quantity,Product URL
"Könyvespolc szövet polcokkal 6 kocka, fekete 110x30x110cm",LSN63H,"11,200 (Ft)","8,490 (Ft)",2,SONGMICS,1 év,110x30x110cm,"Nem szőtt szövet, Vas, Műanyag",10,https://www.deco24.hu/songmics-konyvespolc-szovet-polcokkal-6-kocka-fekete-110x30x110cm
"Összecsukható műbőr tárolópuff, fekete 76x38x38cm",LSF105,"15,700 (Ft)","12,600 (Ft)",6,SONGMICS,1 év,76x38x38cm,"MDF, Polimer hab, PVC (Bőr)",1,https://www.deco24.hu/songmics-osszecsukhato-mubor-tarolopuff-fekete-76x38x38cm
"Bambusz laptop asztal szellőző lyukakkal, állítható magasság 55x35cm",LLD002,"14,900 (Ft)","11,900 (Ft)",3,SONGMICS,1 év,55x35x(21-29)cm,Bambusz,5,https://www.deco24.hu/songmics-bambusz-laptop-asztal-szellozo-lyukakkal-allithato-magassag-55x35cm
"Szabadon álló 2 ajtós, fiókos szekrény, fehér 60x30x80cm",BBC61WT,"43,600 (Ft)","32,700 (Ft)",14,VASAGLE,1 év,60x30x80cm,MDF (Közepes Sűrűségű Rostlemez),20,https://www.deco24.hu/vasagle-szabadon-allo-2-ajtos-fiokos-szekreny-feher-60x30x80cm
"Szabadon álló 2 ajtós szekrény, fehér 60x30x80cm",BCB60W,"35,500 (Ft)","26,600 (Ft)",13,VASAGLE,1 év,60x30x80cm,MDF (Közepes Sűrűségű Rostlemez),17,https://www.deco24.hu/vasagle-szabadon-allo-2-ajtos-szekreny-feher-60x30x80cm
"Polcos állvány, 175kg polconkénti teherbírással, ezüst, barna 180x90x40cm",GLR040E02,"31,200 (Ft)","23,400 (Ft)",25,SONGMICS,1 év,180x90x40cm,"MDF (Közepes Sűrűségű Rostlemez), Acél",24,https://www.deco24.hu/songmics-polcos-allvany-175kg-polconkenti-teherbirassal-ezust-barna-180x90x40cm
"Konzolasztal fém hálós polccal, rusztikus barna 60x30x60cm",LET31BX,"20,600 (Ft)","16,500 (Ft)",5,VASAGLE,1 év,60x30x60cm,"Forgácslap, Acél",1,https://www.deco24.hu/vasagle-konzolasztal-fem-halos-polccal-rusztikus-barna-60x30x60cm
Bambusz kosár szennyestartó 2 rekeszes 2x36L,LCB64Y,"15,100 (Ft)","12,100 (Ft)",3,SONGMICS,1 év,52x32x61cm,"Bambusz, Vas, MDF (Közepes Sűrűségű Rostlemez), TC szövet",9,https://www.deco24.hu/songmics-bambusz-kosar-szennyestarto-2-rekeszes-2x36l
"Fürdőszoba sarokpolc állítható, fehér 95x300cm",BCB02SW,"13,700 (Ft)","11,000 (Ft)",2,SONGMICS,1 év,95x300cm,"Polipropilén (PP), Akrilonitril-Butadién-Sztirol műanyag, Rozsdamentes acél",4,https://www.deco24.hu/songmics-furdoszoba-sarokpolc-allithato-feher-95x300cm
"Szövet ruhatároló szekrény hordozható gardrób, ruhaakasztóval, szürke 150x45x175cm",LSF03G,"23,700 (Ft)","19,000 (Ft)",5,SONGMICS,1 év,150x45x175cm,"Acél, Nem szőtt szövet, Műanyag",9,https://www.deco24.hu/songmics-szovet-ruhatarolo-szekreny-hordozhato-gardrob-ruhaakasztoval-szurke-150x45x175cm
