Team,Category,Date,vs,Opp,Game Result,Team Pts,Opp Pts,Spread,eFG #,eFG %,Rim #,Rim %,Short Mid #,Short Mid %,Long Mid #,Long Mid %,All Mid #,All Mid %,Corner Three #,Corner Three %,Non Corner #,Non Corner %,All Three #,All Three %,Pts/Poss %,Pts/Poss #,ALL TRANSITION Pts+/Poss %,ALL TRANSITION Pts+/Poss #,ALL TRANSITION Freq #,ALL TRANSITION Freq %,ALL TRANSITION Pts/Poss %,ALL TRANSITION Pts/Poss #,OFF STEALS Pts+/Poss %,OFF STEALS Pts+/Poss #,OFF STEALS Freq #,OFF STEALS Freq %,OFF STEALS Pts/Poss %,OFF STEALS Pts/Poss #,OFF LIVE REBOUNDS Pts+/Poss %,OFF LIVE REBOUNDS Pts+/Poss #,OFF LIVE REBOUNDS Freq #,OFF LIVE REBOUNDS Freq %,OFF LIVE REBOUNDS Pts/Poss %,OFF LIVE REBOUNDS Pts/Poss #
ATL,Offense: Shooting Frequency,12/13/23,@,TOR,L,128,135,+2.5,63,57.0%,71,37.5%,41,20.2%,17,4.8%,22,25.0%,79,12.5%,38,25.0%,57,37.5%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,12/11/23,vs.,DEN,L,122,129,+3.5,49,54.7%,57,34.6%,16,15.4%,44,7.7%,15,23.1%,45,8.7%,88,33.7%,81,42.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,12/08/23,@,PHI,L,114,125,+8.5,11,46.6%,23,27.3%,87,30.0%,30,6.4%,77,36.4%,40,8.2%,62,28.2%,52,36.4%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,12/06/23,vs.,BKN,L,113,114,-3.5,26,51.1%,40,31.0%,73,26.0%,47,8.0%,68,34.0%,26,7.0%,60,28.0%,43,35.0%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,12/02/23,@,MIL,L,121,132,+6.5,33,52.0%,11,23.4%,61,23.4%,99,19.6%,93,43.0%,22,6.5%,55,27.1%,37,33.6%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,11/30/23,@,SAS,W,137,135,-6.5,70,58.3%,72,37.7%,33,18.9%,83,12.3%,55,31.1%,23,6.6%,37,24.5%,24,31.1%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,11/28/23,@,CLE,L,105,128,+4.0,2,41.1%,26,28.0%,56,22.4%,69,10.3%,63,32.7%,83,13.1%,49,26.2%,67,39.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,11/26/23,@,BOS,L,103,113,+7.5,35,52.3%,1,12.9%,62,23.7%,42,7.5%,55,31.2%,21,6.5%,100,49.5%,100,55.9%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,11/25/23,@,WAS,W,136,108,-9.5,74,59.3%,83,40.9%,58,22.7%,35,6.8%,46,29.5%,60,10.2%,10,19.3%,16,29.5%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,11/22/23,vs.,BKN,W,147,145,-3.5,34,52.2%,71,37.5%,18,15.8%,33,6.7%,13,22.5%,10,5.0%,92,35.0%,70,40.0%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,11/21/23,vs.,IND,L,152,157,-3.5,96,67.9%,95,46.2%,36,19.2%,17,4.8%,19,24.0%,54,9.6%,13,20.2%,17,29.8%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,11/17/23,vs.,PHI,L,116,126,+1.5,35,52.3%,78,39.2%,68,24.7%,5,3.1%,37,27.8%,41,8.2%,38,24.7%,34,33.0%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,11/15/23,vs.,NYK,L,114,116,-1.5,87,62.7%,22,27.1%,49,21.2%,86,12.9%,69,34.1%,73,11.8%,54,27.1%,65,38.8%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,11/14/23,@,DET,W,126,120,-4.5,75,59.3%,70,37.2%,49,21.3%,53,8.5%,47,29.8%,6,4.3%,65,28.7%,33,33.0%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,11/11/23,vs.,MIA,L,109,117,-7.5,44,54.0%,11,23.2%,65,24.2%,12,4.2%,41,28.4%,96,16.8%,81,31.6%,97,48.4%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,11/09/23,@,ORL,W,120,119,-3.5,60,56.5%,25,27.8%,71,25.6%,14,4.4%,49,30.0%,14,5.6%,95,36.7%,80,42.2%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,11/06/23,@,OKC,L,117,126,+1.0,5,44.1%,50,33.3%,40,19.8%,58,9.0%,43,28.8%,80,12.6%,41,25.2%,60,37.8%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,11/04/23,@,NOP,W,123,105,+2.0,57,55.9%,49,32.7%,60,23.1%,17,4.8%,38,27.9%,79,12.5%,53,26.9%,68,39.4%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,11/01/23,vs.,WAS,W,130,121,-9.0,50,54.9%,79,39.4%,41,20.2%,48,8.1%,40,28.3%,88,14.1%,7,18.2%,30,32.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,10/30/23,vs.,MIN,W,127,113,+1.5,93,65.5%,58,34.8%,42,20.2%,76,11.2%,56,31.5%,24,6.7%,53,27.0%,38,33.7%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,10/29/23,@,MIL,W,127,110,+7.5,84,61.9%,31,29.2%,57,22.5%,88,13.5%,75,36.0%,15,5.6%,68,29.2%,43,34.8%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,10/27/23,vs.,NYK,L,120,126,+1.5,55,55.8%,98,49.5%,5,11.3%,39,7.2%,5,18.6%,50,9.3%,25,22.7%,28,32.0%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,10/25/23,@,CHA,L,110,116,-4.0,6,44.6%,85,41.3%,49,21.2%,71,10.6%,58,31.7%,64,10.6%,3,16.3%,8,26.9%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,03/18/24,@,LAL,L,105,136,+9.0,15,48.3%,24,59.1%,64,47.6%,98,85.7%,89,57.1%,62,44.4%,3,17.2%,6,23.7%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,03/17/24,@,LAC,W,110,93,+9.5,74,59.1%,26,60.0%,30,36.8%,18,25.0%,21,34.8%,92,66.7%,83,45.8%,95,51.5%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,03/15/24,@,UTA,L,122,124,-1.0,51,55.0%,26,60.0%,19,33.3%,13,20.0%,14,31.6%,95,71.4%,84,46.7%,95,51.4%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,03/13/24,@,POR,L,102,106,-4.0,27,51.1%,37,63.2%,44,41.2%,42,38.5%,38,40.0%,34,33.3%,53,37.0%,44,35.9%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,03/10/24,vs.,NOP,L,103,116,+7.0,20,50.0%,24,59.1%,19,33.3%,60,50.0%,21,34.8%,34,33.3%,52,36.8%,46,36.4%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,03/08/24,@,MEM,W,99,92,-3.5,27,51.1%,3,46.2%,31,37.0%,60,50.0%,44,41.0%,32,30.8%,89,50.0%,75,42.9%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,03/06/24,vs.,CLE,W,112,101,-3.0,67,57.7%,67,72.0%,79,53.8%,0,0.0%,70,48.3%,62,44.4%,36,33.3%,47,36.7%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,03/05/24,@,NYK,W,116,100,+1.0,59,56.3%,20,57.6%,91,61.1%,96,80.0%,98,65.2%,32,30.8%,46,35.3%,30,33.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,03/02/24,@,BKN,L,102,114,-1.0,15,48.2%,41,64.3%,5,23.5%,29,33.3%,5,26.1%,45,37.5%,33,32.0%,30,33.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,02/29/24,@,BKN,L,97,124,+1.5,16,48.7%,55,68.2%,24,34.8%,55,44.4%,30,37.5%,34,33.3%,24,29.4%,21,30.4%,,,,,,,,,,,,,,,,,,,,
